date,line,planned_output_qty,actual_output_qty,good_qty,defect_qty,planned_minutes,actual_operating_minutes
2026-06-30,Bライン,962,884,855,29,480,438.4
2026-07-01,Bライン,956,888,860,28,480,435.7
2026-07-02,Bライン,846,730,712,18,480,410.7
2026-07-03,Bライン,949,854,832,22,480,431.1
2026-07-06,Bライン,942,824,801,23,480,420.1
2026-07-07,Bライン,920,815,789,26,480,437.8
2026-07-08,Bライン,960,872,847,25,480,433.3
2026-07-09,Bライン,987,889,862,27,480,426.1
2026-07-10,Bライン,938,852,825,27,480,433.3
2026-07-13,Bライン,991,853,832,21,480,422.4
2026-07-14,Bライン,959,870,853,17,480,430.2
2026-07-15,Bライン,979,885,858,27,480,438.6
2026-07-16,Bライン,972,895,867,28,480,433.7
2026-07-17,Bライン,965,819,796,23,480,418.0
2026-07-20,Bライン,954,864,840,24,480,431.1
2026-07-21,Bライン,948,847,824,23,480,416.9
2026-07-22,Bライン,923,872,850,22,480,429.4
2026-07-23,Bライン,951,824,806,18,480,428.3
2026-07-24,Bライン,972,889,858,31,480,428.9
2026-07-27,Bライン,967,853,827,26,480,432.9
2026-07-28,Bライン,992,873,849,24,480,424.6
2026-07-29,Bライン,921,672,654,18,480,352.1
2026-05-01,Cライン,1311,1153,1115,38,480,428.2
2026-05-04,Cライン,1396,1211,1188,23,480,436.8
2026-05-05,Cライン,1383,1291,1251,40,480,446.6
2026-05-06,Cライン,1400,1277,1248,29,480,450.9
2026-05-07,Cライン,1363,1296,1263,33,480,460.4
2026-05-08,Cライン,1396,1229,1194,35,480,421.4
2026-05-11,Cライン,1426,1289,1253,36,480,436.7
2026-05-12,Cライン,1389,1335,1306,29,480,444.0
2026-05-13,Cライン,1379,1250,1220,30,480,440.8
2026-05-14,Cライン,1437,1275,1255,20,480,432.1
2026-05-15,Cライン,1455,1333,1294,39,480,436.4
2026-05-18,Cライン,1423,1281,1253,28,480,442.2
2026-05-19,Cライン,1366,1259,1218,41,480,437.1
2026-05-20,Cライン,1443,1267,1235,32,480,437.5
2026-05-21,Cライン,1412,1284,1251,33,480,429.8
2026-05-22,Cライン,1433,1288,1259,29,480,432.5
2026-05-25,Cライン,1460,1301,1268,33,480,433.2
2026-05-26,Cライン,1450,1276,1243,33,480,416.0
2026-05-27,Cライン,1434,1299,1276,23,480,438.4
2026-05-28,Cライン,1351,1153,1121,32,480,427.5
2026-05-29,Cライン,1451,1210,1176,34,480,410.1
2026-06-01,Cライン,1391,1306,1277,29,480,440.4
2026-06-02,Cライン,1440,1315,1278,37,480,439.6
2026-06-03,Cライン,1417,1359,1311,48,480,454.7
2026-06-04,Cライン,1377,1232,1205,27,480,426.9
2026-06-05,Cライン,1345,1244,1215,29,480,440.2
2026-06-08,Cライン,1438,1249,1217,32,480,420.2
2026-06-09,Cライン,1336,1198,1169,29,480,444.8
2026-06-10,Cライン,1461,1356,1324,32,480,448.6
2026-06-11,Cライン,1414,1298,1269,29,480,428.0
2026-06-12,Cライン,1392,1313,1283,30,480,442.3
2026-06-15,Cライン,1410,1314,1284,30,480,443.1
2026-06-16,Cライン,1364,1327,1295,32,480,458.2
2026-06-17,Cライン,1407,1277,1244,33,480,428.1
2026-06-18,Cライン,1331,1206,1190,16,480,439.1
2026-06-19,Cライン,1341,1266,1226,40,480,450.6
2026-06-22,Cライン,1421,1327,1296,31,480,435.8
2026-06-23,Cライン,1440,1301,1266,35,480,429.8
2026-06-24,Cライン,1325,1208,1189,19,480,437.9
2026-06-25,Cライン,1383,1320,1289,31,480,453.2
2026-06-26,Cライン,1342,1214,1186,28,480,440.0
2026-06-29,Cライン,1413,1223,1197,26,480,425.8
2026-06-30,Cライン,1420,1281,1251,30,480,416.6
2026-07-01,Cライン,1329,1246,1219,27,480,438.8
2026-07-02,Cライン,1392,1284,1256,28,480,432.7
2026-07-03,Cライン,1441,1253,1222,31,480,425.6
2026-07-06,Cライン,1435,1348,1319,29,480,439.1
2026-07-07,Cライン,1334,1185,1164,21,480,429.8
2026-07-08,Cライン,1393,1236,1213,23,480,433.0
2026-07-09,Cライン,1430,1250,1221,29,480,421.6
2026-07-10,Cライン,1443,1056,1031,25,480,352.6
2026-07-13,Cライン,1439,1245,1224,21,480,427.3
2026-07-14,Cライン,1413,1264,1237,27,480,439.1
2026-07-15,Cライン,1457,1334,1307,27,480,441.7
2026-07-16,Cライン,1371,1217,1190,27,480,441.9
2026-07-17,Cライン,1449,1262,1229,33,480,438.6
2026-07-20,Cライン,1406,1306,1286,20,480,436.6
2026-07-21,Cライン,1421,1187,1162,25,480,413.6
2026-07-22,Cライン,1378,1279,1253,26,480,449.0
2026-07-23,Cライン,1405,1342,1306,36,480,459.7
2026-07-24,Cライン,1411,1223,1197,26,480,430.1
2026-07-27,Cライン,1415,1056,1036,20,480,366.0
2026-07-28,Cライン,1410,1265,1245,20,480,435.4
2026-07-29,Cライン,1417,1231,1205,26,480,432.3
