date,line,defect_cause,count
2026-06-04,Aライン,その他,1
2026-06-05,Aライン,材料不良,9
2026-06-05,Aライン,設備調整不足,8
2026-06-05,Aライン,作業ミス,4
2026-06-05,Aライン,治具摩耗,4
2026-06-05,Aライン,その他,3
2026-06-08,Aライン,材料不良,4
2026-06-08,Aライン,設備調整不足,4
2026-06-08,Aライン,作業ミス,5
2026-06-08,Aライン,治具摩耗,2
2026-06-08,Aライン,その他,3
2026-06-09,Aライン,材料不良,9
2026-06-09,Aライン,設備調整不足,3
2026-06-09,Aライン,作業ミス,6
2026-06-09,Aライン,治具摩耗,3
2026-06-09,Aライン,その他,1
2026-06-10,Aライン,材料不良,4
2026-06-10,Aライン,設備調整不足,6
2026-06-10,Aライン,作業ミス,5
2026-06-10,Aライン,治具摩耗,3
2026-06-10,Aライン,その他,1
2026-06-11,Aライン,材料不良,2
2026-06-11,Aライン,設備調整不足,2
2026-06-11,Aライン,作業ミス,8
2026-06-11,Aライン,治具摩耗,5
2026-06-12,Aライン,材料不良,9
2026-06-12,Aライン,設備調整不足,5
2026-06-12,Aライン,作業ミス,6
2026-06-12,Aライン,治具摩耗,1
2026-06-15,Aライン,材料不良,5
2026-06-15,Aライン,設備調整不足,4
2026-06-15,Aライン,作業ミス,8
2026-06-15,Aライン,治具摩耗,1
2026-06-15,Aライン,その他,2
2026-06-16,Aライン,材料不良,11
2026-06-16,Aライン,設備調整不足,4
2026-06-16,Aライン,作業ミス,2
2026-06-16,Aライン,治具摩耗,3
2026-06-16,Aライン,その他,2
2026-06-17,Aライン,材料不良,7
2026-06-17,Aライン,設備調整不足,4
2026-06-17,Aライン,作業ミス,6
2026-06-17,Aライン,治具摩耗,5
2026-06-17,Aライン,その他,2
2026-06-18,Aライン,材料不良,4
2026-06-18,Aライン,設備調整不足,2
2026-06-18,Aライン,作業ミス,5
2026-06-18,Aライン,治具摩耗,2
2026-06-18,Aライン,その他,2
2026-06-19,Aライン,材料不良,8
2026-06-19,Aライン,設備調整不足,7
2026-06-19,Aライン,作業ミス,4
2026-06-19,Aライン,治具摩耗,3
2026-06-19,Aライン,その他,3
2026-06-22,Aライン,材料不良,6
2026-06-22,Aライン,設備調整不足,4
2026-06-22,Aライン,作業ミス,4
2026-06-22,Aライン,治具摩耗,1
2026-06-22,Aライン,その他,1
2026-06-23,Aライン,材料不良,10
2026-06-23,Aライン,設備調整不足,4
2026-06-23,Aライン,作業ミス,3
2026-06-23,Aライン,治具摩耗,1
2026-06-23,Aライン,その他,2
2026-06-24,Aライン,材料不良,6
2026-06-24,Aライン,設備調整不足,2
2026-06-24,Aライン,作業ミス,4
2026-06-24,Aライン,治具摩耗,3
2026-06-24,Aライン,その他,2
2026-06-25,Aライン,材料不良,7
2026-06-25,Aライン,設備調整不足,7
2026-06-25,Aライン,作業ミス,6
2026-06-25,Aライン,治具摩耗,3
2026-06-26,Aライン,材料不良,6
2026-06-26,Aライン,設備調整不足,7
2026-06-26,Aライン,作業ミス,4
2026-06-26,Aライン,治具摩耗,4
2026-06-26,Aライン,その他,2
2026-06-29,Aライン,材料不良,6
2026-06-29,Aライン,設備調整不足,4
2026-06-29,Aライン,作業ミス,5
2026-06-29,Aライン,治具摩耗,4
2026-06-29,Aライン,その他,3
2026-06-30,Aライン,材料不良,8
2026-06-30,Aライン,設備調整不足,7
2026-06-30,Aライン,作業ミス,6
2026-06-30,Aライン,その他,2
2026-07-01,Aライン,材料不良,5
2026-07-01,Aライン,設備調整不足,5
2026-07-01,Aライン,作業ミス,5
2026-07-01,Aライン,治具摩耗,2
2026-07-01,Aライン,その他,1
2026-07-02,Aライン,材料不良,10
2026-07-02,Aライン,設備調整不足,3
2026-07-02,Aライン,作業ミス,1
2026-07-02,Aライン,その他,1
2026-07-03,Aライン,材料不良,5
2026-07-03,Aライン,設備調整不足,3
2026-07-03,Aライン,作業ミス,5
2026-07-03,Aライン,治具摩耗,6
2026-07-03,Aライン,その他,2
2026-07-06,Aライン,材料不良,5
2026-07-06,Aライン,設備調整不足,1
2026-07-06,Aライン,作業ミス,2
2026-07-06,Aライン,治具摩耗,4
2026-07-07,Aライン,材料不良,3
2026-07-07,Aライン,設備調整不足,4
2026-07-07,Aライン,作業ミス,10
2026-07-07,Aライン,治具摩耗,4
2026-07-07,Aライン,その他,2
2026-07-08,Aライン,材料不良,3
2026-07-08,Aライン,設備調整不足,2
2026-07-08,Aライン,作業ミス,4
2026-07-08,Aライン,治具摩耗,1
2026-07-08,Aライン,その他,5
2026-07-09,Aライン,材料不良,6
2026-07-09,Aライン,設備調整不足,2
2026-07-09,Aライン,作業ミス,7
2026-07-09,Aライン,治具摩耗,3
2026-07-10,Aライン,材料不良,4
2026-07-10,Aライン,設備調整不足,7
2026-07-10,Aライン,作業ミス,5
2026-07-10,Aライン,治具摩耗,2
2026-07-10,Aライン,その他,1
2026-07-13,Aライン,材料不良,5
2026-07-13,Aライン,設備調整不足,4
2026-07-13,Aライン,作業ミス,7
2026-07-13,Aライン,治具摩耗,3
2026-07-14,Aライン,材料不良,5
2026-07-14,Aライン,設備調整不足,4
2026-07-14,Aライン,作業ミス,6
2026-07-14,Aライン,治具摩耗,2
2026-07-14,Aライン,その他,2
2026-07-15,Aライン,材料不良,7
2026-07-15,Aライン,設備調整不足,4
2026-07-15,Aライン,作業ミス,4
2026-07-15,Aライン,治具摩耗,3
2026-07-15,Aライン,その他,3
2026-07-16,Aライン,材料不良,5
2026-07-16,Aライン,設備調整不足,3
2026-07-16,Aライン,作業ミス,4
2026-07-16,Aライン,治具摩耗,2
2026-07-16,Aライン,その他,2
2026-07-17,Aライン,材料不良,4
2026-07-17,Aライン,設備調整不足,5
2026-07-17,Aライン,作業ミス,4
2026-07-17,Aライン,治具摩耗,3
2026-07-20,Aライン,材料不良,4
2026-07-20,Aライン,設備調整不足,4
2026-07-20,Aライン,作業ミス,5
2026-07-20,Aライン,治具摩耗,7
2026-07-21,Aライン,材料不良,2
2026-07-21,Aライン,設備調整不足,3
2026-07-21,Aライン,作業ミス,2
2026-07-21,Aライン,治具摩耗,1
2026-07-21,Aライン,その他,7
2026-07-22,Aライン,材料不良,5
2026-07-22,Aライン,作業ミス,7
2026-07-22,Aライン,治具摩耗,2
2026-07-22,Aライン,その他,2
2026-07-23,Aライン,材料不良,7
2026-07-23,Aライン,設備調整不足,6
2026-07-23,Aライン,作業ミス,2
2026-07-23,Aライン,治具摩耗,1
2026-07-24,Aライン,材料不良,4
2026-07-24,Aライン,設備調整不足,3
2026-07-24,Aライン,作業ミス,5
2026-07-24,Aライン,治具摩耗,9
2026-07-24,Aライン,その他,1
2026-07-27,Aライン,材料不良,1
2026-07-27,Aライン,設備調整不足,2
2026-07-27,Aライン,作業ミス,3
2026-07-27,Aライン,治具摩耗,3
2026-07-27,Aライン,その他,2
2026-07-28,Aライン,材料不良,5
2026-07-28,Aライン,設備調整不足,2
2026-07-28,Aライン,作業ミス,3
2026-07-28,Aライン,治具摩耗,3
2026-07-28,Aライン,その他,2
2026-07-29,Aライン,材料不良,7
2026-07-29,Aライン,設備調整不足,2
2026-07-29,Aライン,作業ミス,4
2026-07-29,Aライン,治具摩耗,2
2026-07-29,Aライン,その他,1
2026-05-01,Bライン,材料不良,3
2026-05-01,Bライン,設備調整不足,15
2026-05-01,Bライン,作業ミス,1
2026-05-01,Bライン,治具摩耗,3
2026-05-01,Bライン,その他,5
2026-05-04,Bライン,材料不良,6
2026-05-04,Bライン,設備調整不足,13
2026-05-04,Bライン,作業ミス,9
2026-05-04,Bライン,治具摩耗,3
2026-05-04,Bライン,その他,2
2026-05-05,Bライン,材料不良,5
2026-05-05,Bライン,設備調整不足,8
2026-05-05,Bライン,作業ミス,3
2026-05-05,Bライン,治具摩耗,5
2026-05-05,Bライン,その他,4
2026-05-06,Bライン,材料不良,3
2026-05-06,Bライン,設備調整不足,10
2026-05-06,Bライン,作業ミス,5
2026-05-06,Bライン,治具摩耗,4
2026-05-06,Bライン,その他,2
2026-05-07,Bライン,材料不良,4
2026-05-07,Bライン,設備調整不足,9
2026-05-07,Bライン,作業ミス,6
2026-05-07,Bライン,治具摩耗,6
2026-05-07,Bライン,その他,6
2026-05-08,Bライン,材料不良,2
2026-05-08,Bライン,設備調整不足,18
2026-05-08,Bライン,作業ミス,3
2026-05-08,Bライン,治具摩耗,9
2026-05-08,Bライン,その他,3
2026-05-11,Bライン,材料不良,5
2026-05-11,Bライン,設備調整不足,13
2026-05-11,Bライン,作業ミス,1
2026-05-11,Bライン,治具摩耗,2
2026-05-11,Bライン,その他,2
2026-05-12,Bライン,材料不良,4
2026-05-12,Bライン,設備調整不足,11
2026-05-12,Bライン,作業ミス,7
2026-05-12,Bライン,治具摩耗,6
2026-05-12,Bライン,その他,3
2026-05-13,Bライン,材料不良,2
2026-05-13,Bライン,設備調整不足,11
2026-05-13,Bライン,作業ミス,4
2026-05-13,Bライン,治具摩耗,3
2026-05-14,Bライン,材料不良,5
2026-05-14,Bライン,設備調整不足,20
2026-05-14,Bライン,作業ミス,4
2026-05-14,Bライン,治具摩耗,7
2026-05-14,Bライン,その他,5
2026-05-15,Bライン,材料不良,4
2026-05-15,Bライン,設備調整不足,17
2026-05-15,Bライン,作業ミス,2
2026-05-15,Bライン,治具摩耗,6
2026-05-18,Bライン,材料不良,4
2026-05-18,Bライン,設備調整不足,9
2026-05-18,Bライン,作業ミス,2
2026-05-18,Bライン,治具摩耗,2
2026-05-18,Bライン,その他,4
2026-05-19,Bライン,材料不良,3
2026-05-19,Bライン,設備調整不足,6
2026-05-19,Bライン,作業ミス,2
2026-05-19,Bライン,治具摩耗,4
2026-05-19,Bライン,その他,1
2026-05-20,Bライン,材料不良,6
2026-05-20,Bライン,設備調整不足,12
2026-05-20,Bライン,作業ミス,5
2026-05-20,Bライン,治具摩耗,6
2026-05-20,Bライン,その他,3
2026-05-21,Bライン,材料不良,2
2026-05-21,Bライン,設備調整不足,13
2026-05-21,Bライン,作業ミス,3
2026-05-21,Bライン,治具摩耗,5
2026-05-21,Bライン,その他,5
2026-05-22,Bライン,材料不良,1
2026-05-22,Bライン,設備調整不足,14
2026-05-22,Bライン,作業ミス,1
2026-05-22,Bライン,治具摩耗,4
2026-05-25,Bライン,材料不良,3
2026-05-25,Bライン,設備調整不足,15
2026-05-25,Bライン,作業ミス,3
2026-05-25,Bライン,治具摩耗,3
2026-05-26,Bライン,材料不良,7
2026-05-26,Bライン,設備調整不足,20
2026-05-26,Bライン,作業ミス,2
2026-05-26,Bライン,治具摩耗,2
2026-05-26,Bライン,その他,1
2026-05-27,Bライン,材料不良,3
2026-05-27,Bライン,設備調整不足,14
2026-05-27,Bライン,作業ミス,4
2026-05-27,Bライン,治具摩耗,3
2026-05-27,Bライン,その他,3
2026-05-28,Bライン,材料不良,4
2026-05-28,Bライン,設備調整不足,13
2026-05-28,Bライン,作業ミス,1
2026-05-28,Bライン,治具摩耗,5
2026-05-28,Bライン,その他,1
2026-05-29,Bライン,材料不良,4
2026-05-29,Bライン,設備調整不足,11
2026-05-29,Bライン,作業ミス,3
2026-05-29,Bライン,治具摩耗,2
2026-05-29,Bライン,その他,2
2026-06-01,Bライン,材料不良,6
2026-06-01,Bライン,設備調整不足,10
2026-06-01,Bライン,作業ミス,4
2026-06-01,Bライン,治具摩耗,4
2026-06-01,Bライン,その他,6
2026-06-02,Bライン,材料不良,3
2026-06-02,Bライン,設備調整不足,10
2026-06-02,Bライン,作業ミス,5
2026-06-02,Bライン,治具摩耗,5
2026-06-02,Bライン,その他,2
2026-06-03,Bライン,設備調整不足,13
2026-06-03,Bライン,作業ミス,4
2026-06-03,Bライン,治具摩耗,2
2026-06-03,Bライン,その他,2
2026-06-04,Bライン,材料不良,3
2026-06-04,Bライン,設備調整不足,13
2026-06-04,Bライン,作業ミス,4
2026-06-04,Bライン,治具摩耗,7
2026-06-04,Bライン,その他,4
2026-06-05,Bライン,材料不良,5
2026-06-05,Bライン,設備調整不足,6
2026-06-05,Bライン,作業ミス,3
2026-06-05,Bライン,治具摩耗,3
2026-06-05,Bライン,その他,3
2026-06-08,Bライン,材料不良,6
2026-06-08,Bライン,設備調整不足,17
2026-06-08,Bライン,作業ミス,2
2026-06-08,Bライン,治具摩耗,3
2026-06-08,Bライン,その他,1
2026-06-09,Bライン,材料不良,5
2026-06-09,Bライン,設備調整不足,11
2026-06-09,Bライン,作業ミス,5
2026-06-09,Bライン,治具摩耗,4
2026-06-09,Bライン,その他,4
2026-06-10,Bライン,材料不良,4
2026-06-10,Bライン,設備調整不足,11
2026-06-10,Bライン,作業ミス,2
2026-06-10,Bライン,治具摩耗,3
2026-06-10,Bライン,その他,4
2026-06-11,Bライン,材料不良,2
2026-06-11,Bライン,設備調整不足,10
2026-06-11,Bライン,作業ミス,7
2026-06-11,Bライン,治具摩耗,5
2026-06-11,Bライン,その他,1
2026-06-12,Bライン,材料不良,5
2026-06-12,Bライン,設備調整不足,9
2026-06-12,Bライン,作業ミス,5
2026-06-12,Bライン,治具摩耗,3
2026-06-12,Bライン,その他,2
2026-06-15,Bライン,材料不良,2
2026-06-15,Bライン,設備調整不足,10
2026-06-15,Bライン,作業ミス,1
2026-06-15,Bライン,治具摩耗,3
2026-06-15,Bライン,その他,8
2026-06-16,Bライン,材料不良,5
2026-06-16,Bライン,設備調整不足,13
2026-06-16,Bライン,作業ミス,4
2026-06-16,Bライン,治具摩耗,4
2026-06-16,Bライン,その他,4
2026-06-17,Bライン,材料不良,2
2026-06-17,Bライン,設備調整不足,16
2026-06-17,Bライン,作業ミス,4
2026-06-17,Bライン,治具摩耗,3
2026-06-17,Bライン,その他,2
2026-06-18,Bライン,材料不良,3
2026-06-18,Bライン,設備調整不足,15
2026-06-18,Bライン,作業ミス,2
2026-06-18,Bライン,治具摩耗,4
2026-06-18,Bライン,その他,3
2026-06-19,Bライン,材料不良,3
2026-06-19,Bライン,設備調整不足,13
2026-06-19,Bライン,作業ミス,1
2026-06-19,Bライン,治具摩耗,4
2026-06-19,Bライン,その他,1
2026-06-22,Bライン,材料不良,6
2026-06-22,Bライン,設備調整不足,11
2026-06-22,Bライン,作業ミス,1
2026-06-22,Bライン,治具摩耗,3
2026-06-22,Bライン,その他,1
2026-06-23,Bライン,材料不良,2
2026-06-23,Bライン,設備調整不足,12
2026-06-23,Bライン,作業ミス,2
2026-06-23,Bライン,治具摩耗,2
2026-06-23,Bライン,その他,4
2026-06-24,Bライン,材料不良,5
2026-06-24,Bライン,設備調整不足,9
2026-06-24,Bライン,作業ミス,3
2026-06-24,Bライン,治具摩耗,3
2026-06-24,Bライン,その他,6
2026-06-25,Bライン,材料不良,2
2026-06-25,Bライン,設備調整不足,12
2026-06-25,Bライン,作業ミス,3
2026-06-25,Bライン,治具摩耗,4
2026-06-25,Bライン,その他,2
2026-06-26,Bライン,材料不良,3
2026-06-26,Bライン,設備調整不足,16
2026-06-26,Bライン,作業ミス,2
2026-06-26,Bライン,治具摩耗,3
2026-06-26,Bライン,その他,5
2026-06-29,Bライン,材料不良,4
2026-06-29,Bライン,設備調整不足,12
2026-06-29,Bライン,作業ミス,2
2026-06-29,Bライン,治具摩耗,6
2026-06-29,Bライン,その他,2
2026-06-30,Bライン,材料不良,3
2026-06-30,Bライン,設備調整不足,15
2026-06-30,Bライン,作業ミス,1
2026-06-30,Bライン,治具摩耗,8
2026-06-30,Bライン,その他,2
2026-07-01,Bライン,材料不良,4
2026-07-01,Bライン,設備調整不足,15
2026-07-01,Bライン,作業ミス,7
2026-07-01,Bライン,治具摩耗,1
2026-07-01,Bライン,その他,1
2026-07-02,Bライン,設備調整不足,10
2026-07-02,Bライン,作業ミス,4
2026-07-02,Bライン,治具摩耗,2
2026-07-02,Bライン,その他,2
2026-07-03,Bライン,材料不良,4
2026-07-03,Bライン,設備調整不足,15
2026-07-03,Bライン,作業ミス,3
2026-07-06,Bライン,材料不良,4
2026-07-06,Bライン,設備調整不足,11
2026-07-06,Bライン,作業ミス,5
2026-07-06,Bライン,治具摩耗,2
2026-07-06,Bライン,その他,1
2026-07-07,Bライン,材料不良,7
2026-07-07,Bライン,設備調整不足,11
2026-07-07,Bライン,作業ミス,2
2026-07-07,Bライン,治具摩耗,3
2026-07-07,Bライン,その他,3
2026-07-08,Bライン,材料不良,4
2026-07-08,Bライン,設備調整不足,12
2026-07-08,Bライン,作業ミス,6
2026-07-08,Bライン,治具摩耗,2
2026-07-08,Bライン,その他,1
2026-07-09,Bライン,材料不良,7
2026-07-09,Bライン,設備調整不足,11
2026-07-09,Bライン,作業ミス,4
2026-07-09,Bライン,治具摩耗,3
2026-07-09,Bライン,その他,2
2026-07-10,Bライン,材料不良,5
2026-07-10,Bライン,設備調整不足,11
2026-07-10,Bライン,作業ミス,1
2026-07-10,Bライン,治具摩耗,7
2026-07-10,Bライン,その他,3
2026-07-13,Bライン,材料不良,1
2026-07-13,Bライン,設備調整不足,12
2026-07-13,Bライン,作業ミス,2
2026-07-13,Bライン,治具摩耗,4
2026-07-13,Bライン,その他,2
2026-07-14,Bライン,材料不良,5
2026-07-14,Bライン,設備調整不足,6
2026-07-14,Bライン,作業ミス,1
2026-07-14,Bライン,治具摩耗,3
2026-07-14,Bライン,その他,2
2026-07-15,Bライン,材料不良,3
2026-07-15,Bライン,設備調整不足,10
2026-07-15,Bライン,作業ミス,6
2026-07-15,Bライン,治具摩耗,5
2026-07-15,Bライン,その他,3
2026-07-16,Bライン,材料不良,5
2026-07-16,Bライン,設備調整不足,13
2026-07-16,Bライン,作業ミス,3
2026-07-16,Bライン,治具摩耗,2
2026-07-16,Bライン,その他,5
2026-07-17,Bライン,材料不良,5
2026-07-17,Bライン,設備調整不足,10
2026-07-17,Bライン,作業ミス,3
2026-07-17,Bライン,治具摩耗,4
2026-07-17,Bライン,その他,1
2026-07-20,Bライン,材料不良,2
2026-07-20,Bライン,設備調整不足,10
2026-07-20,Bライン,作業ミス,6
2026-07-20,Bライン,治具摩耗,5
2026-07-20,Bライン,その他,1
2026-07-21,Bライン,材料不良,5
2026-07-21,Bライン,設備調整不足,12
2026-07-21,Bライン,作業ミス,2
2026-07-21,Bライン,その他,4
2026-07-22,Bライン,材料不良,7
2026-07-22,Bライン,設備調整不足,11
2026-07-22,Bライン,治具摩耗,2
2026-07-22,Bライン,その他,2
2026-07-23,Bライン,材料不良,1
2026-07-23,Bライン,設備調整不足,9
2026-07-23,Bライン,作業ミス,3
2026-07-23,Bライン,治具摩耗,3
2026-07-23,Bライン,その他,2
2026-07-24,Bライン,材料不良,6
2026-07-24,Bライン,設備調整不足,8
2026-07-24,Bライン,作業ミス,5
2026-07-24,Bライン,治具摩耗,7
2026-07-24,Bライン,その他,5
2026-07-27,Bライン,材料不良,6
2026-07-27,Bライン,設備調整不足,9
2026-07-27,Bライン,作業ミス,4
2026-07-27,Bライン,治具摩耗,5
2026-07-27,Bライン,その他,2
2026-07-28,Bライン,材料不良,6
2026-07-28,Bライン,設備調整不足,12
2026-07-28,Bライン,作業ミス,1
2026-07-28,Bライン,治具摩耗,3
2026-07-28,Bライン,その他,2
2026-07-29,Bライン,材料不良,3
2026-07-29,Bライン,設備調整不足,6
2026-07-29,Bライン,作業ミス,2
2026-07-29,Bライン,治具摩耗,6
2026-07-29,Bライン,その他,1
2026-05-01,Cライン,材料不良,9
2026-05-01,Cライン,設備調整不足,9
2026-05-01,Cライン,作業ミス,12
2026-05-01,Cライン,治具摩耗,4
2026-05-01,Cライン,その他,4
2026-05-04,Cライン,材料不良,4
2026-05-04,Cライン,設備調整不足,6
2026-05-04,Cライン,作業ミス,9
2026-05-04,Cライン,治具摩耗,4
2026-05-05,Cライン,材料不良,7
2026-05-05,Cライン,設備調整不足,10
2026-05-05,Cライン,作業ミス,13
2026-05-05,Cライン,治具摩耗,6
2026-05-05,Cライン,その他,4
2026-05-06,Cライン,材料不良,8
2026-05-06,Cライン,設備調整不足,4
2026-05-06,Cライン,作業ミス,8
2026-05-06,Cライン,治具摩耗,5
2026-05-06,Cライン,その他,4
2026-05-07,Cライン,材料不良,9
2026-05-07,Cライン,設備調整不足,6
2026-05-07,Cライン,作業ミス,11
2026-05-07,Cライン,治具摩耗,5
2026-05-07,Cライン,その他,2
2026-05-08,Cライン,材料不良,9
2026-05-08,Cライン,設備調整不足,6
2026-05-08,Cライン,作業ミス,11
2026-05-08,Cライン,治具摩耗,5
2026-05-08,Cライン,その他,4
2026-05-11,Cライン,材料不良,7
2026-05-11,Cライン,設備調整不足,11
2026-05-11,Cライン,作業ミス,10
2026-05-11,Cライン,治具摩耗,5
2026-05-11,Cライン,その他,3
2026-05-12,Cライン,材料不良,8
2026-05-12,Cライン,設備調整不足,4
2026-05-12,Cライン,作業ミス,12
2026-05-12,Cライン,治具摩耗,4
2026-05-12,Cライン,その他,1
2026-05-13,Cライン,材料不良,7
2026-05-13,Cライン,設備調整不足,3
2026-05-13,Cライン,作業ミス,12
2026-05-13,Cライン,治具摩耗,6
2026-05-13,Cライン,その他,2
2026-05-14,Cライン,材料不良,3
2026-05-14,Cライン,設備調整不足,2
2026-05-14,Cライン,作業ミス,8
2026-05-14,Cライン,治具摩耗,6
2026-05-14,Cライン,その他,1
2026-05-15,Cライン,材料不良,5
2026-05-15,Cライン,設備調整不足,8
2026-05-15,Cライン,作業ミス,15
2026-05-15,Cライン,治具摩耗,4
2026-05-15,Cライン,その他,7
2026-05-18,Cライン,材料不良,7
2026-05-18,Cライン,設備調整不足,10
2026-05-18,Cライン,作業ミス,7
2026-05-18,Cライン,治具摩耗,3
2026-05-18,Cライン,その他,1
2026-05-19,Cライン,材料不良,13
2026-05-19,Cライン,設備調整不足,8
2026-05-19,Cライン,作業ミス,12
2026-05-19,Cライン,治具摩耗,5
2026-05-19,Cライン,その他,3
2026-05-20,Cライン,材料不良,7
2026-05-20,Cライン,設備調整不足,6
2026-05-20,Cライン,作業ミス,10
2026-05-20,Cライン,治具摩耗,6
2026-05-20,Cライン,その他,3
2026-05-21,Cライン,材料不良,5
2026-05-21,Cライン,設備調整不足,5
2026-05-21,Cライン,作業ミス,11
2026-05-21,Cライン,治具摩耗,8
2026-05-21,Cライン,その他,4
2026-05-22,Cライン,材料不良,11
2026-05-22,Cライン,設備調整不足,5
2026-05-22,Cライン,作業ミス,6
2026-05-22,Cライン,治具摩耗,6
2026-05-22,Cライン,その他,1
2026-05-25,Cライン,材料不良,4
2026-05-25,Cライン,設備調整不足,9
2026-05-25,Cライン,作業ミス,11
2026-05-25,Cライン,治具摩耗,8
2026-05-25,Cライン,その他,1
2026-05-26,Cライン,材料不良,10
2026-05-26,Cライン,設備調整不足,5
2026-05-26,Cライン,作業ミス,7
2026-05-26,Cライン,治具摩耗,7
2026-05-26,Cライン,その他,4
2026-05-27,Cライン,材料不良,6
2026-05-27,Cライン,設備調整不足,8
2026-05-27,Cライン,作業ミス,2
2026-05-27,Cライン,治具摩耗,3
2026-05-27,Cライン,その他,4
2026-05-28,Cライン,材料不良,8
